Compounds;SMILES;measured TBs
1,1,1,2,2,3,3,4,4-Nonafluorobutane;FC(F)C(F)(F)C(F)(F)C(F)(F)F;288.25
1,1,1,2-Tetrachloro-2-fluoroethane;FC(Cl)C(Cl)(Cl)Cl;390.15
1,1,1,2-Tetrachloroethane;ClCC(Cl)(Cl)Cl;403.75
1,1,1,2-Tetrafluoroethane;FCC(F)(F)F;247.04999999999998
1,1,1-Trichloro-2-fluoroethane;FCC(Cl)(Cl)Cl;366.0
1,1,1-Trichlorotrifluoroethane;FC(F)(F)C(Cl)(Cl)Cl;318.84999999999997
1,1,2-Trichloro-1-fluoroethane;FC(Cl)(Cl)CCl;361.15
1,1,2-Trichlorotrifluoroethane;FC(F)(Cl)C(F)(Cl)Cl;320.75
1,1-Dichloro-1,2,2-trifluoroethane;FC(F)C(F)(Cl)Cl;303.0
1,1-Dichloro-1,2-difluoroethane;FCC(F)(Cl)Cl;315.33
1,1-Dichloro-2,2-difluoroethylene;FC(F)=C(Cl)Cl;292.15
1,1-Dichlorotetrafluoroethane;FC(F)(F)C(F)(Cl)Cl;276.16999999999996
1,2-Dibromo-1,1-difluoroethane;FC(F)(Br)CBr;365.65
1,2-Dibromotetrafluoroethane;FC(F)(Br)C(F)(F)Br;320.45
1,2-Dichloro-1,1,2-trifluoroethane;FC(Cl)C(F)(F)Cl;303.15
1,1,1,2,3,3,3-Heptafluoropropane;FC(C(F)(F)F)C(F)(F)F;257.54999999999995
1,1,1,2,3,3-Hexafluoropropane;FC(F)C(F)C(F)(F)F;279.34999999999997
1,1,1,3,3-Pentafluoropropane;FC(F)CC(F)(F)F;288.25
1,1,1-Trifluoroethane;CC(F)(F)F;225.95
1,1,2,2-Tetrachloroethane;ClC(Cl)C(Cl)Cl;419.45
1,1,2,2-Tetrafluoropropane;CC(F)(F)C(F)F;272.34999999999997
1,1,2-Trichloro-2-fluoroethane;FC(Cl)C(Cl)Cl;375.65
1,1,2-Trichloroethane;ClCC(Cl)Cl;386.65
1,1-Dichloro-2,2-difluoroethane;FC(F)C(Cl)Cl;333.15
1,1-Dichloroethane;CC(Cl)Cl;330.45
1,2-Dichloro-1,1,3,3,3-pentafluoropropane;FC(F)(F)C(Cl)C(F)(F)Cl;323.95
1,2-Dichloro-1-fluoroethane;FC(Cl)CCl;346.95
1,2-Dichlorotetrafluoroethane;FC(F)(Cl)C(F)(F)Cl;276.75
1,3-Dichloro-1,1,2,2,3,3-hexafluoropropane;FC(F)(Cl)C(F)(F)C(F)(F)Cl;308.84999999999997
1-Chloro-1,1,2,2-tetrafluoroethane;FC(F)C(F)(F)Cl;261.45
1-Chloro-1,1,2,3,3,3-hexafluoropropane;FC(C(F)(F)F)C(F)(F)Cl;290.75
1-Chloro-1,1,2-Trifluoroethane;FCC(F)(F)Cl;285.15
1-Chloro-1,1-difluoroethane;CC(F)(F)Cl;264.15
1-Chloro-1,2-difluoroethane;FCC(F)Cl;280.69
1-Chloro-1-fluoroethane;CC(F)Cl;289.34999999999997
2,2,2-Trifluoroethyl methyl ether;COCC(F)(F)F;304.77
2,2-Dichloro-1,1,1-trifluoroethane;FC(F)(F)C(Cl)Cl;300.95
2,3-Dichloro-1,1,1,3-tetrafluoropropane;FC(Cl)C(Cl)C(F)(F)F;343.25
2,3-Dichloro-1,1,1-trifluoropropane;FC(F)(F)C(Cl)CCl;349.84999999999997
2-Chloro-1,1,1,2,3,3,3-heptafluoropropane;FC(F)(F)C(F)(Cl)C(F)(F)F;271.15
2-Chloro-1,1,1,2-tetrafluoroethane;FC(Cl)C(F)(F)F;261.15
3-Chloro-1,1,1-trifluoropropane;FC(F)(F)CCCl;318.25
Bis(difluoromethyl)ether;FC(F)OC(F)F;275.0
Bromodifluoromethane;FC(F)Br;258.59999999999997
Butane;CCCC;272.65
Tetrachloromethane;ClC(Cl)(Cl)Cl;349.84999999999997
Chlorodifluoromethane;FC(F)Cl;232.34999999999997
Chloroheptafluorocyclobutane;FC1(F)C(F)(F)C(F)(Cl)C1(F)F;298.75
Chloromethane;CCl;248.95
Chlorotrifluoroethylene;FC(F)=C(F)Cl;245.24999999999997
Chlorotrifluoromethane;FC(F)(F)Cl;191.84999999999997
Decafluorobutane;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F;271.25
Dibromodifluoromethane;FC(F)(Br)Br;295.90999999999997
1,2-Dichloro-1,2-difluoroethane;FC(Cl)C(F)Cl;332.75
Dichlorodifluoromethane;FC(F)(Cl)Cl;243.34999999999997
Dichlorofluoromethane;FC(Cl)Cl;282.04999999999995
1,2-Dichloro-1,2,3,3,4,4-hexafluorocyclobutane;FC1(F)C(F)(F)C(F)(Cl)C1(F)Cl;332.65
Dichloromethane;ClCCl;313.25
1,3-Difluoropropane ;FCCCF;314.15
Ethane;CC;184.54999999999998
Ethylamine;CCN;289.75
Fluoroethane;CCF;236.04999999999998
Fluoromethane;CF;195.04999999999998
Hexachloroethane;ClC(Cl)(Cl)C(Cl)(Cl)Cl;458.0
1-Fluoropropane;CCCF;270.65
Hexafluoroethane;FC(F)(F)C(F)(F)F;194.95
Hexafluoropropylene;FC(F)=C(F)C(F)(F)F;243.74999999999997
Methyl 1,1,2,2-tetrafluoroethyl ether;COC(F)(F)C(F)F;309.65
Methyl pentafluoroethyl ether;COC(F)(F)C(F)(F)F;278.75
Methylamine;CN;266.45
Octafluorocyclobutane;FC1(F)C(F)(F)C(F)(F)C1(F)F;267.15
Pentachloroethane;ClC(Cl)C(Cl)(Cl)Cl;433.03
Pentafluorodimethyl ether;FC(F)OC(F)(F)F;231.14999999999998
Pentafluoroethane;FC(F)C(F)(F)F;225.04999999999998
Pentane;CCCCC;309.34999999999997
Propane;CCC;231.04999999999998
Propylene;CC=C;225.45
Tetrafluoroethylene;FC(F)=C(F)F;197.24999999999997
Tetrafluoromethane;FC(F)(F)F;145.14999999999998
Trichloromethane;ClC(Cl)Cl;334.34999999999997
2,2,3-trichloro-1,1,1-trifluoropropane ;FC(F)(F)C(Cl)(Cl)CCl;377.79999999999995
Trifluoromethyl 1,2,2,2-tetrafluoroethyl ether;FC(OC(F)(F)F)C(F)(F)F;263.54999999999995
1,1,3-Trifluoropropane;FCCC(F)F;265.40999999999997
Trifluoromethyl 1,1,2,2-tetrafluoroethyl ether;FC(F)C(F)(F)OC(F)(F)F;270.15
1,1,1,2,2,3,3-Heptafluorobutane;CC(F)(F)C(F)(F)C(F)(F)F;288.25
1,1,1,2,3-Pentafluoropropane;FCC(F)C(F)(F)F;295.84999999999997
1,1,1,3,3,3-Hexafluoropropane;FC(F)(F)CC(F)(F)F;271.75
1,1,1-Trichloro-2,2-difluoroethane;FC(F)C(Cl)(Cl)Cl;346.15
1,1,2,2,3,3,3-Heptafluoropropane;FC(F)C(F)(F)C(F)(F)F;256.15
1,1,2,2-Tetrafluoroethane;FC(F)C(F)F;253.34999999999997
1,1-Dichloro-2-fluoroethane;FCC(Cl)Cl;305.0
1,2-Dichloro-1,1-difluoro ethane;FC(F)(Cl)CCl;319.95
1,2-Dichloroethane;ClCCCl;356.65
1,3-Dichloro-1,1,2,2,3-pentafluoropropane;FC(Cl)C(F)(F)C(F)(F)Cl;325.15
2,3-Dichloro-1,1,1,2,3-pentafluoropropane;FC(Cl)C(F)(Cl)C(F)(F)F;325.04999999999995
3,3-Dichloro-1,1,1,2,2-pentafluoropropane;FC(F)(F)C(F)(F)C(Cl)Cl;318.65
3-Chloro-1,1,2,2-tetrafluoropropane;FC(F)C(F)(F)CCl;327.95
Bromochlorodifluoromethane;FC(F)(Cl)Br;269.45
1-Chloro-1,1-difluoroethane;CC(F)(F)Cl;264.04999999999995
Chloropentafluoroethane;FC(F)(F)C(F)(F)Cl;234.24999999999997
1-(Difluoromethoxy)-1,1,2-trifluoroethane;FCC(F)(F)OC(F)F;316.25
Ethylene;C=C;163.74999999999997
Isopentane;CCC(C)C;301.03
Trifluoro(methoxy)methane;COC(F)(F)F;249.34999999999997
1,1,1,2,2-Pentachloro-2-fluoroethane;FC(Cl)(Cl)C(Cl)(Cl)Cl;411.15
1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane;COC(F)(F)C(F)(F)C(F)(F)F;307.38
4-Methylheptane;CCCC(C)CCC;390.87
1-Ethyl-4-methylbenzene;CCc1ccc(C)cc1;434.25
3-Pentanone;CCC(=O)CC;374.84999999999997
3-Methylpentane;CCC(C)CC;336.41999999999996
3-Methylhexane;CCCC(C)CC;365.15
3-Methyl-1-pentene;CCC(C)C=C;327.34999999999997
1-Ethyl-3-methylbenzene;CCc1cccc(C)c1;434.45
3-Chloro-1-propene;ClCC=C;318.25
1,2-Dichloro-4-methylbenzene;Cc1ccc(Cl)c(Cl)c1;482.04999999999995
2-Propanethiol;CC(C)S;325.75
2-Methylpentane;CCCC(C)C;333.40999999999997
2-Methylhexane;CCCCC(C)C;363.19
2-Methyl-2-butene;CC=C(C)C;311.71
2-Methyl-1-pentene;CCCC(C)=C;335.25
2-Methyl-1-butene;CCC(C)=C;304.34999999999997
2-Methyl-1-Butanol;CCC(C)CO;400.65
2-Hexanone;CCCCC(C)=O;400.75
1-Chloro-2-methylbenzene;Cc1ccccc1Cl;432.15
2-Butanone;CCC(C)=O;352.74
2-Butanol;CCC(C)O;372.65999999999997
2-Butanethiol;CCC(C)S;358.15
2,4-Dimethylpentane;CC(C)CC(C)C;353.64
2,4,4-Trimethyl-2-Pentene;CC(C)=CC(C)(C)C;378.04999999999995
2,4,4-Trimethyl-1-Pentene;CC(=C)CC(C)(C)C;374.54999999999995
2,3-Dimethylpentane;CCC(C)C(C)C;362.92999999999995
2,3-Dimethylbutane;CC(C)C(C)C;331.08
2,2-Dimethylpropane;CC(C)(C)C;282.63
2,2-Dimethylpentane;CCCC(C)(C)C;352.34999999999997
2,2-Dimethylbutane;CCC(C)(C)C;322.88
2,2,3-Trimethylbutane;CC(C)C(C)(C)C;354.01
1,1-Dichloroethylene;ClC(Cl)=C;310.15
1,2-Butadiene;C[CH]=[C]=[CH2];284.04999999999995
1,2-Dibromoethane;BrCCBr;404.75
1,3-Butadiene;C=CC=C;268.73999999999995
1,4-Pentadiene;C=CCC=C;299.15
1-Butene;CCC=C;266.89
1-Chloropropane;CCCCl;319.65
1-Heptene;CCCCCC=C;366.78999999999996
1-Hexanol;CCCCCCO;430.75
1-Hexene;CCCCC=C;336.63
Nonanal;CCCCCCCCC=O;464.15
Acetaldehyde;CC=O;293.25
Acetone;CC(C)=O;329.2
N,N-Diethylformamide;CCN(CC)C=O;450.65
Butyl Acetate;CCCCOC(C)=O;399.25
1-Butylamine;CCCCN;350.15
Butyraldehyde;CCCC=O;347.95
Decane;CCCCCCCCCC;447.29999999999995
